Date,Price,Open,High,Low,Vol.,Change %
2/1/1981,97.06,94.82,98.18,94.59,,1.91%
1/1/1981,95.24,90.51,95.24,88.95,,5.37%
12/1/1980,90.39,90.55,92.66,89.86,,0.42%
11/1/1980,90.01,88.64,90.12,88.43,,1.84%
10/1/1980,88.38,85.75,88.38,85.43,,2.74%
9/1/1980,86.02,85.19,86.29,85.08,,0.20%
8/1/1980,85.85,86.49,86.86,85.45,,-0.27%
7/1/1980,86.08,85.1,86.08,84.12,,1.03%
6/1/1980,85.2,86.09,86.09,84.75,,-0.85%
5/1/1980,85.93,88.22,88.9,85.15,,-2.47%
4/1/1980,88.11,94.22,94.88,88.01,,-5.85%
3/1/1980,93.58,87.85,93.58,87.85,,6.77%
2/1/1980,87.65,86.13,87.65,85.62,,1.75%
1/1/1980,86.14,85.32,86.14,84.79,,0.37%
12/1/1979,85.82,85.98,87.05,85.51,,-1.12%
11/1/1979,86.79,88.79,89.02,86.79,,-2.43%
10/1/1979,88.95,85.43,89.12,85.43,,4.10%
9/1/1979,85.45,87.26,87.47,85.45,,-2.00%
8/1/1979,87.19,86.97,87.46,86.91,,-0.14%
7/1/1979,87.31,87.89,87.89,86.02,,-0.61%
6/1/1979,87.85,90.82,90.82,87.71,,-2.96%
5/1/1979,90.53,90.11,91.02,89.55,,0.61%
4/1/1979,89.98,88.98,89.98,88.98,,1.64%
3/1/1979,88.53,88.28,88.59,88.09,,0.40%
2/1/1979,88.18,89.24,89.25,87.35,,-0.77%
1/1/1979,88.86,86.52,88.86,86.52,,2.73%
12/1/1978,86.5,90.63,90.63,86.5,,-4.12%
11/1/1978,90.22,86.68,90.22,86.68,,8.61%
10/1/1978,83.07,88.88,88.88,82.07,,-6.48%
9/1/1978,88.83,89.73,90.54,88.67,,-1.30%
8/1/1978,90,90.9,91.13,88,,-1.03%
7/1/1978,90.94,93.17,93.23,90.94,,-2.77%
6/1/1978,93.53,95.45,95.58,93.53,,-2.02%
5/1/1978,95.46,95.58,97.11,95.39,,-0.17%
4/1/1978,95.62,93.4,96.19,93.4,,1.90%
3/1/1978,93.84,94.56,96.1,93.84,,-0.80%
2/1/1978,94.6,96.81,97.1,94.57,,-2.11%
1/1/1978,96.64,95.21,97.87,94.99,,0.21%
